time,person_id,pos_x,pos_y,pos_z,velocity,motion_angle,facing_angle
1352853345.107,9354500,31741,-19662,1147.296,1835.66,2.75,0.0
1352853345.144,9354500,31739,-19663,1195.47,1828.189,2.765,2.27
1352853345.181,9354500,31685,-19644,1230.131,1709.149,2.757,2.661
1352853345.218,9354500,31625,-19621,1222.065,1658.599,2.692,2.692
1352853345.257,9354500,31573,-19586,1215.266,1587.595,2.651,2.693
1352853345.295,9354500,31520,-19554,1210.147,1544.159,2.662,2.665
1352853345.332,9354500,31462,-19454,1210.977,1532.46,2.477,2.542
1352853345.372,9354500,31395,-19347,1201.175,1648.276,2.399,2.47
1352853345.41,9354500,31358,-19338,1198.083,1611.161,2.453,2.478
1352853345.446,9354500,31323,-19332,1195.682,1544.134,2.471,2.49
1352853345.484,9354500,31287,-19242,1186.827,1581.227,2.327,2.357
1352853345.521,9354500,31251,-19190,1188.786,1578.86,2.304,2.323
1352853345.556,9354500,31230,-19185,1196.634,1515.045,2.337,2.382
1352853345.592,9354500,31222,-19184,1222.114,1374.471,2.311,2.424
1352853345.629,9354500,31182,-19159,1225.722,1322.012,2.332,2.452
1352853345.668,9354500,31147,-19150,1220.258,1273.109,2.469,2.466
1352853345.706,9354500,31112,-19137,1213.654,1193.917,2.463,2.48
1352853345.742,9354500,31266,-19015,1225.99,912.323,1.903,2.045
1352853345.779,9354500,31256,-18991,1225.859,820.888,1.841,2.022
1352853345.816,9354500,31153,-19100,1220.239,920.22,2.479,2.432
1352853345.851,9354500,31102,-19067,1210.004,1091.914,2.468,2.463
1352853345.888,9354500,31047,-19037,1201.411,1123.166,2.41,2.422
1352853345.928,9354500,30954,-19012,1216.366,1235.467,2.308,2.425
1352853345.965,9354500,30896,-18983,1246.948,1249.976,2.387,2.411
1352853346.005,9354500,30834,-18946,1245.478,1307.017,2.374,2.411
1352853346.044,9354500,30783,-18902,1241.211,1302.624,2.359,2.348
1352853346.079,9354500,30754,-18874,1241.297,1264.021,2.352,2.335
1352853346.117,9354500,30718,-18836,1241.297,1272.319,2.322,2.411
1352853346.156,9354500,30652,-18797,1239.085,1311.425,2.404,2.405
1352853346.19,9354500,30604,-18765,1236.114,1338.25,2.455,2.446
1352853346.226,9354500,30573,-18734,1235.933,1262.197,2.444,2.506
1352853346.263,9354500,30503,-18718,1235.404,1240.039,2.477,2.525
1352853346.3,9354500,30455,-18705,1232.701,1260.2,2.569,2.637
1352853346.335,9354500,30379,-18692,1253.491,1334.109,2.61,2.701
1352853346.371,9354500,30323,-18659,1264.352,1430.362,2.641,2.67
1352853346.407,9354500,30271,-18634,1264.397,1416.068,2.655,2.705
1352853346.445,9354500,30308,-18633,1263.305,1221.531,2.579,2.655
1352853346.483,9354500,30323,-18632,1263.294,1097.443,2.636,2.668
1352853346.523,9354500,30228,-18602,1275.277,1261.608,2.624,2.687
1352853346.559,9354500,30152,-18583,1288.521,1333.645,2.696,2.702
1352853346.594,9354500,30023,-18547,1311.217,1552.643,2.704,2.721
1352853346.629,9354500,29938,-18502,1345.495,1655.975,2.717,2.696
1352853346.667,9354500,29872,-18453,1347.18,1644.787,2.613,2.619
1352853346.707,9354500,29815,-18409,1345.616,1633.392,2.582,2.552
1352853346.745,9354500,29745,-18364,1357.579,1715.151,2.593,2.525
1352853346.782,9354500,29679,-18331,1362.325,1743.383,2.6,2.532
1352853346.819,9354500,29618,-18309,1359.242,1745.998,2.593,2.588
1352853346.854,9354500,29547,-18272,1356.848,1769.182,2.548,2.564
1352853346.893,9354500,29484,-18250,1353.659,1784.542,2.599,2.555
1352853346.93,9354500,29419,-18195,1456.416,1758.954,2.516,2.502
1352853346.967,9354500,29380,-18154,1513.826,1733.57,2.477,2.469
1352853347.005,9354500,29309,-18131,1507.762,1777.834,2.555,2.489
1352853347.043,9354500,29263,-18116,1497.31,1712.63,2.586,2.525
1352853347.081,9354500,29203,-18104,1489.244,1763.06,2.596,2.57
1352853347.12,9354500,29132,-18082,1479.027,1796.304,2.569,2.595
1352853347.158,9354500,29088,-18053,1468.381,1744.304,2.57,2.593
1352853347.194,9354500,29032,-18004,1510.59,1697.557,2.522,2.552
1352853347.23,9354500,28970,-17978,1530.626,1704.277,2.495,2.533
1352853347.267,9354500,28930,-17942,1561.605,1664.547,2.442,2.491
1352853347.306,9354500,28902,-17915,1586.254,1511.657,2.465,2.481
1352853347.344,9354500,28865,-17855,1662.427,1516.791,2.414,2.434
1352853347.383,9354500,28799,-17834,1770.934,1481.903,2.445,2.464
1352853347.423,9354500,28747,-17773,1800.687,1508.932,2.36,2.411
1352853347.461,9354500,28722,-17776,1801.564,1431.426,2.405,2.452
1352853347.5,9354500,28700,-17753,1800.535,1438.168,2.362,2.431
1352853347.537,9354500,28673,-17707,1788.708,1450.238,2.289,2.371
1352853347.576,9354500,28638,-17686,1776.882,1334.422,2.275,2.33
1352853347.612,9354500,28610,-17688,1760.145,1229.307,2.328,2.357
1352853347.649,9354500,28574,-17639,1754.459,1184.037,2.234,2.327
1352853347.691,9354500,28547,-17609,1750.599,1138.959,2.246,2.304
1352853347.728,9354500,28501,-17604,1739.617,1135.49,2.384,2.371
1352853347.766,9354500,28457,-17603,1727.853,1133.98,2.397,2.4
1352853347.808,9354500,28400,-17574,1711.229,1187.935,2.376,2.42
1352853347.844,9354500,28347,-17622,1703.68,1016.178,2.454,2.404
1352853347.881,9354500,28321,-17598,1706.297,1028.783,2.405,2.404
1352853347.918,9354500,28306,-17579,1707.566,1056.212,2.462,2.437
1352853347.955,9354500,28237,-17541,1702.713,1151.213,2.565,2.519
1352853347.993,9354500,28178,-17511,1687.035,1153.6,2.544,2.473
1352853348.032,9354500,28135,-17489,1670.458,1133.528,2.561,2.511
1352853348.068,9354500,28061,-17473,1650.179,1277.098,2.599,2.546
1352853348.107,9354500,28011,-17465,1638.314,1357.182,2.615,2.653
1352853348.15,9354500,27940,-17428,1712.457,1462.249,2.655,2.72
1352853348.187,9354500,27873,-17391,1739.264,1587.769,2.653,2.675
1352853348.222,9354500,27828,-17362,1743.603,1602.2,2.593,2.643
1352853348.259,9354500,27791,-17347,1730.574,1590.342,2.519,2.634
1352853348.298,9354500,27753,-17299,1715.4,1608.203,2.464,2.527
1352853348.335,9354500,27704,-17264,1714.398,1638.353,2.44,2.483
1352853348.373,9354500,27644,-17221,1701.324,1639.792,2.473,2.439
1352853348.409,9354500,27612,-17224,1683.083,1547.229,2.419,2.476
1352853348.447,9354500,27577,-17200,1682.736,1526.667,2.469,2.494
1352853348.485,9354500,27554,-17174,1678.196,1490.258,2.436,2.452
1352853348.523,9354500,27513,-17134,1664.924,1496.334,2.44,2.476
1352853348.559,9354500,27465,-17114,1647.575,1461.085,2.487,2.52
1352853348.597,9354500,27411,-17105,1626.276,1392.033,2.453,2.545
1352853348.634,9354500,27372,-17087,1608.928,1360.636,2.509,2.564
1352853348.67,9354500,27349,-17077,1614.54,1296.366,2.463,2.561
1352853348.706,9354500,27335,-17073,1619.461,1128.41,2.45,2.597
1352853348.744,9354500,27276,-17029,1614.2,1165.986,2.459,2.583
1352853348.782,9354500,27246,-16999,1608.994,1186.407,2.497,2.565
1352853348.82,9354500,27161,-16976,1596.72,1338.717,2.582,2.617
1352853348.862,9354500,27103,-16946,1584.688,1340.637,2.602,2.625
1352853348.9,9354500,26975,-16898,1578.001,1613.118,2.627,2.621
1352853348.939,9354500,26932,-16864,1575.909,1579.349,2.587,2.626
1352853348.975,9354500,26938,-16853,1571.107,1398.185,2.497,2.622
1352853349.013,9354500,26894,-16807,1564.103,1463.071,2.518,2.563
1352853349.05,9354500,26863,-16789,1556.708,1321.762,2.474,2.542
1352853349.086,9354500,26775,-16745,1546.726,1489.058,2.493,2.546
1352853349.124,9354500,26704,-16719,1537.495,1546.885,2.59,2.582
1352853349.163,9354500,26616,-16677,1525.396,1732.239,2.631,2.655
1352853349.203,9354500,26498,-16641,1517.405,1893.634,2.594,2.614
1352853349.239,9354500,26445,-16613,1510.992,1900.689,2.574,2.608
1352853349.277,9354500,26400,-16597,1505.707,1810.892,2.581,2.626
1352853349.313,9354500,26351,-16556,1496.873,1853.186,2.632,2.606
1352853349.348,9354500,26318,-16546,1492.14,1755.254,2.68,2.632
1352853349.384,9354500,26284,-16544,1489.951,1726.856,2.608,2.651
1352853349.423,9354500,26228,-16490,1484.059,1791.97,2.535,2.558
1352853349.461,9354500,26168,-16450,1480.001,1732.677,2.557,2.525
1352853349.503,9354500,26130,-16431,1476.404,1540.683,2.62,2.647
1352853349.541,9354500,26093,-16424,1472.855,1379.155,2.763,2.766
1352853349.585,9354500,26043,-16385,1466.445,1388.209,2.659,2.653
1352853349.622,9354500,25995,-16344,1460.035,1410.64,2.556,2.619
1352853349.662,9354500,25948,-16320,1458.119,1448.981,2.528,2.584
1352853349.701,9354500,25892,-16310,1456.023,1344.474,2.609,2.643
1352853349.742,9354500,25816,-16289,1486.828,1407.106,2.679,2.716
1352853349.779,9354500,25762,-16267,1505.974,1396.616,2.673,2.717
1352853349.819,9354500,25689,-16224,1531.185,1435.626,2.64,2.667
1352853349.855,9354500,25649,-16187,1527.358,1390.354,2.649,2.668
1352853349.893,9354500,25615,-16191,1524.152,1318.634,2.672,2.68
1352853349.93,9354500,25588,-16188,1523.184,1214.943,2.664,2.749
1352853349.968,9354500,25532,-16131,1523.653,1212.754,2.522,2.639
1352853350.007,9354500,25496,-16107,1520.467,1150.551,2.511,2.592
1352853350.044,9354500,25461,-16077,1512.008,1124.874,2.458,2.513
1352853350.082,9354500,25392,-16069,1509.117,1178.969,2.638,2.664
1352853350.121,9354500,25346,-16056,1505.208,1163.281,2.71,2.752
1352853350.16,9354500,25298,-15981,1501.374,1206.137,2.558,2.605
1352853350.198,9354500,25264,-15945,1499.654,1279.479,2.541,2.524
1352853350.234,9354500,25204,-15942,1536.344,1248.944,2.592,2.54
1352853350.27,9354500,25178,-15911,1546.895,1268.663,2.532,2.571
1352853350.313,9354500,25002,-15833,1643.833,1427.249,2.449,2.529
1352853350.352,9354500,24986,-15758,1639.009,1386.62,2.415,2.365
1352853350.391,9354500,24965,-15733,1624.686,1294.233,2.347,2.317
1352853350.433,9354500,24896,-15765,1618.556,1184.46,2.431,2.456
1352853350.471,9354500,24861,-15732,1597.986,1175.286,2.401,2.407
1352853350.507,9354500,24832,-15700,1574.789,1170.535,2.317,2.363
1352853350.548,9354500,24781,-15653,1617.469,1191.935,2.358,2.368
1352853350.586,9354500,24743,-15613,1637.109,1183.945,2.351,2.323
1352853350.623,9354500,24667,-15575,1640.807,1212.269,2.379,2.387
1352853350.66,9354500,24627,-15561,1641.371,1198.397,2.41,2.426
1352853350.694,9354500,24593,-15548,1638.26,1141.386,2.473,2.452
1352853350.729,9354500,24558,-15508,1718.131,1140.007,2.48,2.433
1352853350.769,9354500,24519,-15472,1758.137,1136.58,2.417,2.396
1352853350.807,9354500,24462,-15481,1746.724,1194.639,2.485,2.45
1352853350.844,9354500,24414,-15482,1724.199,1181.989,2.525,2.567
1352853350.88,9354500,24346,-15457,1708.478,1322.39,2.538,2.558
1352853350.917,9354500,24316,-15429,1694.225,1339.936,2.481,2.529
1352853350.955,9354500,24277,-15401,1694.615,1331.53,2.5,2.536
1352853350.993,9354500,24212,-15385,1683.804,1427.355,2.565,2.551
1352853351.034,9354500,24179,-15365,1679.466,1363.084,2.559,2.557
1352853351.073,9354500,24160,-15324,1670.155,1280.031,2.522,2.506
1352853351.113,9354500,24145,-15280,1654.05,1264.898,2.494,2.466
1352853351.15,9354500,24054,-15217,1629.883,1471.819,2.577,2.459
1352853351.188,9354500,24011,-15189,1606.084,1435.004,2.556,2.505
1352853351.225,9354500,23977,-15170,1595.645,1387.555,2.537,2.52
1352853351.262,9354500,23943,-15171,1589.015,1326.096,2.578,2.565
1352853351.301,9354500,23871,-15076,1578.362,1541.004,2.484,2.44
1352853351.337,9354500,23822,-15027,1564.372,1547.638,2.421,2.433
1352853351.376,9354500,23779,-14990,1547.566,1568.874,2.434,2.406
1352853351.413,9354500,23723,-14927,1652.536,1641.342,2.413,2.403
1352853351.449,9354500,23683,-14893,1709.891,1526.297,2.386,2.436
1352853351.486,9354500,23602,-14841,1742.116,1582.945,2.439,2.472
1352853351.525,9354500,23547,-14796,1758.804,1546.169,2.487,2.523
