time,person_id,pos_x,pos_y,pos_z,velocity,motion_angle,facing_angle
1352853314.085,9351400,41076,-18323,1376.155,647.033,-3.072,0.0
1352853314.122,9351400,41071,-18322,1366.525,639.117,-3.053,1.282
1352853314.16,9351400,41037,-18328,1357.708,628.806,3.117,2.605
1352853314.201,9351400,40990,-18341,1351.012,654.399,-2.987,-2.794
1352853314.239,9351400,40962,-18345,1350.63,641.305,-2.926,-2.788
1352853314.275,9351400,40953,-18343,1350.751,629.666,-2.946,-2.802
1352853314.311,9351400,40931,-18345,1350.751,644.761,-2.975,-2.741
1352853314.347,9351400,40907,-18352,1350.751,607.099,-3.019,-2.868
1352853314.383,9351400,40890,-18350,1350.751,613.9,-3.013,-2.97
1352853314.422,9351400,40754,-18411,1345.037,843.216,-2.817,-2.623
1352853314.458,9351400,40662,-18478,1343.358,895.524,-2.602,-2.478
1352853314.494,9351400,40642,-18494,1343.364,863.41,-2.626,-2.599
1352853314.532,9351400,40607,-18449,1362.097,742.831,-2.727,-2.671
1352853314.57,9351400,40485,-18426,1421.504,942.01,-2.869,-2.877
1352853314.606,9351400,40427,-18387,1499.669,1062.813,-3.124,-3.088
1352853314.643,9351400,40379,-18336,1513.903,1190.059,3.009,3.081
1352853314.68,9351400,40311,-18292,1525.499,1271.579,2.894,2.991
1352853314.716,9351400,40252,-18266,1528.306,1284.704,2.855,2.913
1352853314.754,9351400,40198,-18235,1521.36,1320.382,2.671,2.764
1352853314.792,9351400,40136,-18238,1518.682,1375.557,2.803,2.835
1352853314.829,9351400,40063,-18222,1509.01,1451.369,2.874,2.866
1352853314.866,9351400,39985,-18206,1503.409,1526.241,2.886,2.877
1352853314.907,9351400,39883,-18264,1559.401,1560.559,3.012,2.992
1352853314.944,9351400,39810,-18256,1559.714,1605.305,2.974,3.021
1352853314.984,9351400,39744,-18287,1561.409,1569.793,3.051,3.05
1352853315.022,9351400,39647,-18297,1619.769,1637.882,3.095,3.082
1352853315.06,9351400,39568,-18351,1652.086,1701.79,-2.98,-3.113
1352853315.097,9351400,39491,-18385,1682.041,1801.488,-2.926,-3.038
1352853315.134,9351400,39449,-18419,1684.607,1790.833,-2.852,-2.978
1352853315.171,9351400,39369,-18436,1705.923,1797.92,-2.822,-2.898
1352853315.205,9351400,39330,-18455,1710.964,1693.636,-2.815,-2.866
1352853315.243,9351400,39278,-18469,1708.936,1676.846,-2.812,-2.903
1352853315.282,9351400,39222,-18476,1707.145,1652.606,-2.858,-2.885
1352853315.317,9351400,39177,-18477,1703.104,1651.957,-2.884,-2.917
1352853315.356,9351400,39136,-18478,1698.099,1621.989,-2.92,-2.97
1352853315.395,9351400,39074,-18463,1692.636,1607.756,-3.045,-3.067
1352853315.432,9351400,39023,-18439,1686.748,1589.707,-3.124,3.134
1352853315.468,9351400,38978,-18432,1683.386,1585.583,3.131,3.109
1352853315.506,9351400,38912,-18414,1680.434,1574.99,3.004,3.067
1352853315.543,9351400,38872,-18395,1677.347,1447.743,2.949,3.1
1352853315.583,9351400,38796,-18376,1679.364,1529.339,3.013,3.036
1352853315.624,9351400,38748,-18363,1692.714,1476.404,2.956,3.024
1352853315.663,9351400,38686,-18352,1696.811,1462.721,2.964,3.011
1352853315.701,9351400,38625,-18342,1703.427,1457.096,2.987,3.037
1352853315.74,9351400,38561,-18320,1702.702,1490.957,2.995,3.059
1352853315.781,9351400,38502,-18300,1700.237,1447.232,2.944,3.046
1352853315.821,9351400,38428,-18291,1698.545,1477.805,2.95,3.103
1352853315.86,9351400,38360,-18286,1694.966,1489.579,2.951,3.068
1352853315.9,9351400,38337,-18289,1691.326,1420.322,3.008,3.101
1352853315.937,9351400,38274,-18300,1689.162,1395.381,3.097,-3.089
