time,person_id,pos_x,pos_y,pos_z,velocity,motion_angle,facing_angle
1352853302.46,9350200,46328,-22834,1591.718,964.406,-1.153,0.0
1352853302.495,9350200,46326,-22834,1630.211,967.424,-1.142,1.112
1352853302.532,9350200,46346,-22881,1670.636,886.31,-1.232,-1.68
1352853302.569,9350200,46368,-22932,1661.88,801.479,-1.358,-1.566
1352853302.603,9350200,46375,-22962,1652.175,716.121,-1.511,-1.675
1352853302.64,9350200,46371,-22997,1640.658,727.18,-1.619,-1.667
1352853302.673,9350200,46368,-23014,1635.407,775.203,-1.628,-1.652
1352853302.708,9350200,46374,-23032,1630.523,732.532,-1.583,-1.631
1352853302.741,9350200,46382,-23059,1625.887,738.037,-1.556,-1.555
1352853302.776,9350200,46392,-23083,1630.353,749.878,-1.463,-1.554
1352853302.81,9350200,46398,-23091,1651.593,757.775,-1.559,-1.516
1352853302.843,9350200,46404,-23105,1646.227,774.16,-1.489,-1.484
1352853302.876,9350200,46413,-23111,1651.733,795.373,-1.537,-1.449
1352853302.91,9350200,46430,-23134,1641.843,759.997,-1.428,-1.418
1352853302.943,9350200,46457,-23164,1639.927,772.915,-1.431,-1.428
1352853302.977,9350200,46470,-23186,1636.363,733.339,-1.413,-1.401
1352853303.01,9350200,46483,-23207,1636.584,754.693,-1.288,-1.317
1352853303.043,9350200,46493,-23251,1632.032,798.74,-1.278,-1.342
1352853303.076,9350200,46489,-23258,1638.38,783.601,-1.345,-1.367
1352853303.112,9350200,46512,-23286,1638.0,879.005,-1.413,-1.382
1352853303.148,9350200,46550,-23297,1636.911,881.28,-1.4,-1.403
1352853303.183,9350200,46551,-23325,1633.037,798.497,-1.403,-1.419
1352853303.219,9350200,46574,-23373,1629.736,921.229,-1.296,-1.365
1352853303.253,9350200,46582,-23364,1627.908,838.765,-1.344,-1.411
1352853303.293,9350200,46604,-23379,1623.533,800.917,-1.354,-1.423
1352853303.329,9350200,46627,-23383,1622.518,729.206,-1.368,-1.379
1352853303.365,9350200,46632,-23415,1632.889,736.43,-1.317,-1.411
1352853303.398,9350200,46652,-23432,1631.655,693.729,-1.276,-1.425
1352853303.431,9350200,46692,-23462,1630.98,770.131,-1.253,-1.356
1352853303.467,9350200,46748,-23496,1629.358,865.862,-1.194,-1.306
1352853303.501,9350200,46781,-23518,1639.417,911.785,-1.216,-1.308
1352853303.534,9350200,46816,-23549,1638.27,919.45,-1.215,-1.236
1352853303.567,9350200,46842,-23581,1635.732,969.355,-1.182,-1.248
1352853303.601,9350200,46859,-23608,1633.261,983.679,-1.187,-1.237
1352853303.634,9350200,46881,-23642,1633.22,1023.659,-1.176,-1.263
1352853303.67,9350200,46903,-23666,1631.258,958.973,-1.079,-1.228
1352853303.707,9350200,46930,-23695,1631.417,936.497,-1.063,-1.175
1352853303.745,9350200,46934,-23691,1629.098,864.153,-1.025,-1.11
1352853303.78,9350200,46951,-23690,1646.32,895.075,-1.017,-1.088
1352853303.817,9350200,46977,-23709,1648.327,914.13,-0.978,-1.03
1352853303.852,9350200,46991,-23786,1644.184,981.783,-1.011,-1.092
1352853303.887,9350200,47028,-23790,1645.801,1052.824,-0.985,-1.075
1352853303.925,9350200,47061,-23790,1647.465,1056.618,-0.923,-1.029
1352853303.962,9350200,47072,-23789,1650.841,1039.821,-0.904,-0.966
1352853303.997,9350200,47107,-23799,1652.401,1016.002,-0.849,-0.908
1352853304.038,9350200,47150,-23849,1651.018,1025.545,-0.938,-0.918
1352853304.076,9350200,47178,-23919,1648.046,1096.516,-1.038,-0.978
1352853304.114,9350200,47216,-23953,1648.623,1078.545,-1.033,-0.958
1352853304.149,9350200,47246,-23995,1647.706,1125.815,-1.01,-0.989
1352853304.184,9350200,47255,-23992,1651.378,1091.351,-0.992,-0.924
1352853304.219,9350200,47287,-24024,1652.508,1101.831,-0.997,-0.917
1352853304.255,9350200,47303,-24052,1653.914,1064.163,-0.96,-0.913
1352853304.288,9350200,47327,-24074,1655.64,1079.587,-0.93,-0.925
1352853304.326,9350200,47320,-24044,1656.979,976.484,-0.948,-0.932
1352853304.365,9350200,47336,-24034,1658.035,923.694,-0.789,-0.874
1352853304.403,9350200,47291,-23920,1658.723,738.937,-0.697,-0.843
1352853304.44,9350200,47301,-23941,1658.758,692.336,-0.789,-0.813
1352853304.476,9350200,47321,-23961,1658.758,646.626,-0.824,-0.828
1352853304.515,9350200,47335,-23983,1658.758,636.175,-0.858,-0.858
1352853304.553,9350200,47348,-24004,1658.758,594.526,-0.868,-0.865
1352853304.59,9350200,47361,-24020,1658.758,584.115,-0.921,-0.875
1352853304.629,9350200,47375,-24035,1658.758,567.807,-0.929,-0.962
1352853304.666,9350200,47390,-24056,1658.758,576.899,-0.847,-0.954
1352853304.702,9350200,47395,-24067,1658.76,530.15,-0.87,-1.011
1352853304.744,9350200,47409,-24080,1658.645,462.616,-0.775,-1.035
