time,person_id,pos_x,pos_y,pos_z,velocity,motion_angle,facing_angle
1352853320.171,9352000,41472,-17735,1349.162,1112.084,2.828,0.0
1352853320.209,9352000,41471,-17736,1346.179,1094.573,2.848,2.956
1352853320.249,9352000,41423,-17726,1342.173,1062.509,2.805,2.846
1352853320.286,9352000,41387,-17721,1335.827,976.354,2.835,2.827
1352853320.321,9352000,41352,-17701,1336.216,949.906,2.724,2.79
1352853320.359,9352000,41314,-17688,1336.233,908.77,2.749,2.864
1352853320.397,9352000,41289,-17678,1336.233,842.22,2.763,2.872
1352853320.434,9352000,41250,-17662,1336.233,863.046,2.707,2.875
1352853320.473,9352000,41222,-17647,1336.233,816.566,2.618,2.879
1352853320.515,9352000,41189,-17626,1336.233,799.983,2.645,2.88
1352853320.554,9352000,41164,-17609,1336.233,783.215,2.516,2.825
1352853320.591,9352000,41140,-17594,1336.233,709.723,2.564,2.849
1352853320.629,9352000,41115,-17579,1336.233,682.609,2.539,2.813
1352853320.67,9352000,41096,-17565,1336.233,649.676,2.587,2.793
