time,person_id,pos_x,pos_y,pos_z,velocity,motion_angle,facing_angle
1352853217.685,9333700,-16684,12771,1380.572,1198.787,-1.579,0.0
1352853217.719,9333700,-16682,12769,1380.572,1206.344,-1.577,1.942
1352853217.757,9333700,-16678,12744,1313.753,1101.944,-1.597,-2.279
1352853217.792,9333700,-16675,12717,1314.834,1029.268,-1.655,-2.033
1352853217.827,9333700,-16685,12673,1407.17,1061.284,-1.727,-1.835
1352853217.863,9333700,-16706,12622,1467.603,1027.682,-1.733,-1.839
1352853217.901,9333700,-16717,12573,1508.643,1029.081,-1.713,-1.809
1352853217.939,9333700,-16742,12526,1341.522,1094.911,-1.786,-1.86
1352853217.973,9333700,-16755,12475,1440.727,1071.038,-1.782,-1.817
1352853218.009,9333700,-16769,12423,1501.762,1085.232,-1.771,-1.795
1352853218.047,9333700,-16773,12377,1534.875,1103.779,-1.718,-1.811
1352853218.081,9333700,-16802,12317,1420.153,1151.559,-1.853,-1.835
1352853218.116,9333700,-16814,12271,1348.287,1125.458,-1.751,-1.817
1352853218.153,9333700,-16841,12221,1368.909,1172.903,-1.783,-1.795
1352853218.188,9333700,-16857,12180,1388.82,1235.155,-1.762,-1.779
1352853218.223,9333700,-16854,12121,1327.516,1262.066,-1.74,-1.738
1352853218.263,9333700,-16853,12052,1304.624,1298.594,-1.746,-1.681
1352853218.299,9333700,-16832,12019,1291.792,1231.875,-1.702,-1.689
1352853218.335,9333700,-16862,11977,1414.951,1284.391,-1.731,-1.729
1352853218.373,9333700,-16882,11948,1470.994,1254.486,-1.705,-1.728
1352853218.409,9333700,-16895,11913,1500.601,1283.092,-1.751,-1.739
1352853218.444,9333700,-16915,11887,1509.571,1229.273,-1.803,-1.773
1352853218.48,9333700,-16927,11849,1515.275,1156.45,-1.827,-1.786
1352853218.517,9333700,-16939,11824,1526.713,1118.212,-1.879,-1.87
1352853218.552,9333700,-16976,11772,1565.565,1141.679,-1.898,-1.933
1352853218.586,9333700,-16989,11749,1589.675,1060.927,-1.881,-1.98
1352853218.624,9333700,-17012,11717,1524.655,1025.911,-1.889,-1.991
1352853218.66,9333700,-17047,11682,1524.439,981.379,-1.945,-1.976
1352853218.696,9333700,-17073,11641,1510.481,954.017,-1.961,-1.99
1352853218.73,9333700,-17118,11584,1574.194,1038.838,-2.034,-1.999
1352853218.767,9333700,-17129,11558,1609.638,950.451,-2.009,-1.979
1352853218.803,9333700,-17161,11523,1570.642,928.385,-2.046,-1.975
1352853218.838,9333700,-17197,11493,1520.869,965.333,-2.079,-2.031
1352853218.873,9333700,-17216,11458,1592.221,942.717,-2.122,-2.031
1352853218.908,9333700,-17229,11434,1620.474,930.046,-2.129,-2.051
1352853218.943,9333700,-17259,11394,1586.534,910.31,-2.08,-2.062
1352853218.982,9333700,-17289,11362,1533.48,944.775,-2.078,-2.038
1352853219.017,9333700,-17310,11339,1508.805,920.301,-2.069,-2.018
1352853219.055,9333700,-17336,11314,1464.662,887.528,-2.081,-2.046
1352853219.092,9333700,-17364,11275,1446.786,926.449,-2.095,-2.041
1352853219.128,9333700,-17383,11247,1526.647,867.817,-2.092,-2.046
1352853219.162,9333700,-17432,11193,1617.48,977.144,-2.104,-2.083
1352853219.197,9333700,-17468,11133,1664.615,1077.923,-2.051,-2.063
1352853219.234,9333700,-17525,11065,1440.52,1323.099,-2.05,-2.035
1352853219.269,9333700,-17557,10993,1373.228,1417.301,-2.02,-2.044
1352853219.306,9333700,-17610,10913,1347.384,1515.922,-2.053,-2.077
1352853219.343,9333700,-17663,10845,1257.986,1588.004,-2.114,-2.087
1352853219.378,9333700,-17712,10779,1272.304,1645.355,-2.087,-2.078
1352853219.412,9333700,-17750,10742,1258.226,1584.802,-2.067,-2.1
1352853219.447,9333700,-17782,10708,1265.144,1554.794,-2.069,-2.118
